"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","hidden_size","learning_rate","n_epochs","num_in","num_layers","num_pred","rid_of_top","RMSE","epoch","test_loss","train_loss"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00057_d0.00","crashed","LSTM training with lr=0.0005664558811102839, dropout=0","","","2025-08-03T01:10:21.000Z","45","","64","0","32","0.0005664558811102839","500","110","4","12","4","0.06905365038463432","13","0.006083512822488428","0.004647431663652031"
"VanillaLSTM_pred12_r4_i110_n2_h32_e500_l0.00090_d0.01","crashed","LSTM training with lr=0.0009047134346141663, dropout=0.01","","","2025-08-03T00:43:58.000Z","90","","32","0.01","32","0.0009047134346141664","500","110","2","12","4","0.07108205577391617","19","0.00611673565614367","0.003939764775709933"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00085_d0.00","crashed","LSTM training with lr=0.0008487650826912204, dropout=0","","","2025-08-03T01:04:43.000Z","61","","64","0","32","0.0008487650826912204","500","110","4","12","4","0.07165955255794484","14","0.005358077904280175","0.004041633597807959"
"VanillaLSTM_pred12_r4_i110_n2_h32_e500_l0.00044_d0.00","crashed","LSTM training with lr=0.00044458931466262675, dropout=0","","","2025-08-02T23:58:44.000Z","91","","32","0","32","0.00044458931466262675","500","110","2","12","4","0.07331199547643345","19","0.0062655392716786905","0.003934061879627245"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00065_d0.00","crashed","LSTM training with lr=0.0006487034438810717, dropout=0","","","2025-08-03T00:59:17.000Z","91","","32","0","32","0.0006487034438810717","500","110","4","12","4","0.07376626173384623","15","0.006418790289883985","0.004200523215131713"
"VanillaLSTM_pred12_r4_i110_n2_h32_e500_l0.00049_d0.00","crashed","LSTM training with lr=0.00048699285724811587, dropout=0","","","2025-08-03T00:01:09.000Z","75","","32","0","32","0.00048699285724811587","500","110","2","12","4","0.07420384420363581","19","0.006536134647597115","0.003652022070427374"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00027_d0.30","crashed","LSTM training with lr=0.0002693447548623844, dropout=0.3","","","2025-08-02T23:35:43.000Z","90","","32","0.3","32","0.0002693447548623844","500","110","4","12","4","0.07436723786835196","15","0.006416390612719601","0.004919213561162506"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00047_d0.00","crashed","LSTM training with lr=0.0004676052883980884, dropout=0","","","2025-08-03T01:12:36.000Z","60","","64","0","32","0.0004676052883980884","500","110","4","12","4","0.07446418702973978","12","0.005831359051954991","0.005042072312537624"
"VanillaLSTM_pred12_r4_i110_n2_h32_e500_l0.00039_d0.01","crashed","LSTM training with lr=0.00039056491924405775, dropout=0.01","","","2025-08-03T00:31:08.000Z","75","","32","0.01","32","0.00039056491924405775","500","110","2","12","4","0.07473303458555486","19","0.0050226349431797745","0.00436857670058215"
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00092_d0.01","crashed","LSTM training with lr=0.0009159360317686476, dropout=0.01","","","2025-08-03T00:42:11.000Z","91","","32","0.01","32","0.0009159360317686476","500","110","4","12","4","0.0750262133240088","15","0.005700535089011739","0.004406875649992326"
